[Software Info]
Build,NTA 2.3 build 0033

[Sample Information]
Operator,""
Sample Description,"coffee"
Diluent,"aqua dest."
Concentration,"1:9"
Pre-treatmeant,""
Comments,""

[Results Summary]
Total Frames,900
Processed Frames,900
Valid Tracks,3394
Overall Drift (nm/s),365.87
X-Drift (nm/s),-328.74
Y-Drift (nm/s),160.60
Calibration (nm/pixel),166

Size data - Model Fit,
Mean (nm),0.00
Standard Deviation (nm),0.00
Diffusion Coefficient Data,
Mode (E4 nm^2/s),279.00
Mean (E4 nm^2/s),414.92
Standard Deviation (E4 nm^2/s),211.11

User Line 1,354
User Line 2,0
Average # centres/frame,103.87
Average # particles/frame,85.36
Equivalent particle concentration (E8 particles/ml),12.79
Selected average # particles/frame,0.00
Selected equivalent particle concentration (E8 particles/ml),0.00

[Settings],
Background Extract,On
Brightness,0
Gain,1.00
Blur Size,Auto,
Detection Threshold Type,Multi,
Detection Threshold,22
Min Track Length,Auto
Min Expected Size (nm),Auto

[Measurement Conditions]
Camera Type,CCD
Camera Shutter (ms),10.00
Camera Gain,339
Frame rate (fps),30.00
Temperature (°C),24.20
Viscosity (cP),0.905

[Warnings]
Low Completed Tracks,No
High Noise,0 frames
Auto max jump,Successful
Drift off,No
Settings Changed Whilst Processing,No
Vibration detected,Vibration detected <~10% error
Additional Errors,None

[Graph Data]
Diffusion Coefficient (E4 nm²/s), Concentration (E6 particles / ml),,
824,0.3083,,
825,0.3071,,
826,0.3059,,
827,0.3048,,
828,0.3036,,
829,0.3024,,
830,0.3013,,
831,0.3002,,
832,0.2991,,
833,0.2980,,
834,0.2969,,
835,0.2958,,
836,0.2947,,
837,0.2937,,
838,0.2926,,
839,0.2916,,
840,0.2906,,
841,0.2896,,
842,0.2885,,
843,0.2876,,
844,0.2866,,
845,0.2856,,
846,0.2846,,
847,0.2836,,
848,0.2827,,
849,0.2817,,
850,0.2808,,
851,0.2798,,
852,0.2789,,
853,0.2779,,
854,0.2770,,
855,0.2761,,
856,0.2752,,
857,0.2743,,
858,0.2734,,
859,0.2724,,
860,0.2715,,
861,0.2706,,
862,0.2697,,
863,0.2688,,
864,0.2680,,
865,0.2671,,
866,0.2662,,
867,0.2653,,
868,0.2644,,
869,0.2635,,
870,0.2626,,
871,0.2617,,
872,0.2608,,
873,0.2599,,
874,0.2591,,
875,0.2582,,
876,0.2573,,
877,0.2564,,
878,0.2555,,
879,0.2546,,
880,0.2537,,
881,0.2528,,
882,0.2519,,
883,0.2510,,
884,0.2501,,
885,0.2492,,
886,0.2483,,
887,0.2474,,
888,0.2465,,
889,0.2456,,
890,0.2447,,
891,0.2438,,
892,0.2429,,
893,0.2420,,
894,0.2411,,
895,0.2401,,
896,0.2392,,
897,0.2383,,
898,0.2374,,
899,0.2365,,
900,0.2355,,
901,0.2346,,
902,0.2337,,
903,0.2327,,
904,0.2318,,
905,0.2308,,
906,0.2299,,
907,0.2290,,
908,0.2280,,
909,0.2271,,
910,0.2261,,
911,0.2252,,
912,0.2242,,
913,0.2232,,
914,0.2223,,
915,0.2213,,
916,0.2204,,
917,0.2194,,
918,0.2184,,
919,0.2175,,
920,0.2165,,
921,0.2155,,
922,0.2146,,
923,0.2136,,
924,0.2126,,
925,0.2116,,
926,0.2107,,
927,0.2097,,
928,0.2087,,
929,0.2078,,
930,0.2068,,
931,0.2058,,
932,0.2048,,
933,0.2039,,
934,0.2029,,
935,0.2019,,
936,0.2009,,
937,0.1999,,
938,0.1990,,
939,0.1980,,
940,0.1970,,
941,0.1961,,
942,0.1951,,
943,0.1941,,
944,0.1931,,
945,0.1922,,
946,0.1912,,
947,0.1902,,
948,0.1893,,
949,0.1883,,
950,0.1874,,
951,0.1864,,
952,0.1854,,
953,0.1845,,
954,0.1835,,
955,0.1826,,
956,0.1816,,
957,0.1807,,
958,0.1797,,
959,0.1788,,
960,0.1779,,
961,0.1769,,
962,0.1760,,
963,0.1751,,
964,0.1741,,
965,0.1732,,
966,0.1723,,
967,0.1714,,
968,0.1705,,
969,0.1696,,
970,0.1687,,
971,0.1678,,
972,0.1669,,
973,0.1660,,
974,0.1651,,
975,0.1642,,
976,0.1633,,
977,0.1625,,
978,0.1616,,
979,0.1607,,
980,0.1599,,
981,0.1590,,
982,0.1582,,
983,0.1573,,
984,0.1565,,
985,0.1556,,
986,0.1548,,
987,0.1540,,
988,0.1532,,
989,0.1523,,
990,0.1515,,
991,0.1507,,
992,0.1499,,
993,0.1491,,
994,0.1483,,
995,0.1476,,
996,0.1468,,
997,0.1460,,
998,0.1453,,
999,0.1445,,
1000,0.1437,,
1001,0.1430,,
1002,0.1423,,
1003,0.1415,,
1004,0.1408,,
1005,0.1401,,
1006,0.1394,,
1007,0.1387,,
1008,0.1380,,
1009,0.1373,,
1010,0.1366,,
1011,0.1359,,
1012,0.1352,,
1013,0.1345,,
1014,0.1339,,
1015,0.1332,,
1016,0.1325,,
1017,0.1319,,
1018,0.1313,,
1019,0.1306,,
1020,0.1300,,
1021,0.1294,,
1022,0.1287,,
1023,0.1281,,
1024,0.1275,,
1025,0.1269,,
1026,0.1263,,
1027,0.1257,,
1028,0.1252,,
1029,0.1246,,
1030,0.1240,,
1031,0.1235,,
1032,0.1229,,
1033,0.1223,,
1034,0.1218,,
1035,0.1213,,
1036,0.1207,,
1037,0.1202,,
1038,0.1197,,
1039,0.1192,,
1040,0.1186,,
1041,0.1181,,
1042,0.1176,,
1043,0.1171,,
1044,0.1166,,
1045,0.1161,,
1046,0.1157,,
1047,0.1152,,
1048,0.1147,,
1049,0.1142,,
1050,0.1138,,
1051,0.1133,,
1052,0.1129,,
1053,0.1124,,
1054,0.1120,,
1055,0.1115,,
1056,0.1111,,
1057,0.1107,,
1058,0.1102,,
1059,0.1098,,
1060,0.1094,,
1061,0.1090,,
1062,0.1086,,
1063,0.1081,,
1064,0.1077,,
1065,0.1073,,
1066,0.1069,,
