[Software Info]
Build,NTA 2.3 build 0033

[Sample Information]
Operator,""
Sample Description,"coffee"
Diluent,"aqua dest."
Concentration,"1:9"
Pre-treatmeant,""
Comments,""

[Results Summary]
Total Frames,2700
Processed Frames,2700
Valid Tracks,8731
Overall Drift (nm/s),394.39
X-Drift (nm/s),-315.38
Y-Drift (nm/s),236.81
Calibration (nm/pixel),166

Size data - Model Fit,
Mean (nm),0.00
Standard Deviation (nm),0.00
Diffusion Coefficient Data,
Mode (E4 nm^2/s),245.00
Mean (E4 nm^2/s),402.27
Standard Deviation (E4 nm^2/s),214.93

User Line 1,354
User Line 2,0
Average # centres/frame,94.00
Average # particles/frame,75.66
Equivalent particle concentration (E8 particles/ml),11.33
Selected average # particles/frame,0.00
Selected equivalent particle concentration (E8 particles/ml),0.00

[Settings],
Background Extract,On
Brightness,0
Gain,1.00
Blur Size,Auto,
Detection Threshold Type,Multi,
Detection Threshold,22
Min Track Length,Auto
Min Expected Size (nm),Auto

[Measurement Conditions]
Camera Type,CCD
Camera Shutter (ms),10.00
Camera Gain,339
Frame rate (fps),30.00
Temperature (°C),24.10
Viscosity (cP),0.907

[Warnings]
Low Completed Tracks,No
High Noise,0 frames
Auto max jump,Successful
Drift off,No
Settings Changed Whilst Processing,No
Vibration detected,No vibration detected
Additional Errors,None

[Graph Data]
Diffusion Coefficient (E4 nm²/s), Concentration (E6 particles / ml),,
591,0.8392,,
592,0.8366,,
593,0.8340,,
594,0.8314,,
595,0.8288,,
596,0.8262,,
597,0.8235,,
598,0.8208,,
599,0.8181,,
600,0.8153,,
601,0.8125,,
602,0.8097,,
603,0.8069,,
604,0.8040,,
605,0.8011,,
606,0.7982,,
607,0.7952,,
608,0.7922,,
609,0.7892,,
610,0.7861,,
611,0.7830,,
612,0.7799,,
613,0.7768,,
614,0.7736,,
615,0.7704,,
616,0.7672,,
617,0.7639,,
618,0.7606,,
619,0.7573,,
620,0.7540,,
621,0.7506,,
622,0.7472,,
623,0.7438,,
624,0.7404,,
625,0.7369,,
626,0.7334,,
627,0.7299,,
628,0.7264,,
629,0.7229,,
630,0.7193,,
631,0.7157,,
632,0.7122,,
633,0.7086,,
634,0.7050,,
635,0.7013,,
636,0.6977,,
637,0.6941,,
638,0.6905,,
639,0.6868,,
640,0.6832,,
641,0.6795,,
642,0.6759,,
643,0.6722,,
644,0.6686,,
645,0.6649,,
646,0.6613,,
647,0.6576,,
648,0.6540,,
649,0.6504,,
650,0.6468,,
651,0.6431,,
652,0.6395,,
653,0.6360,,
654,0.6324,,
655,0.6288,,
656,0.6253,,
657,0.6218,,
658,0.6182,,
659,0.6147,,
660,0.6113,,
661,0.6078,,
662,0.6044,,
663,0.6009,,
664,0.5976,,
665,0.5942,,
666,0.5908,,
667,0.5875,,
668,0.5842,,
669,0.5809,,
670,0.5776,,
671,0.5744,,
672,0.5712,,
673,0.5680,,
674,0.5648,,
675,0.5617,,
676,0.5586,,
677,0.5555,,
678,0.5525,,
679,0.5494,,
680,0.5464,,
681,0.5435,,
682,0.5405,,
683,0.5376,,
684,0.5347,,
685,0.5318,,
686,0.5290,,
687,0.5262,,
688,0.5234,,
689,0.5206,,
690,0.5179,,
691,0.5151,,
692,0.5125,,
693,0.5098,,
694,0.5072,,
695,0.5045,,
696,0.5020,,
697,0.4994,,
698,0.4969,,
699,0.4943,,
700,0.4918,,
701,0.4894,,
702,0.4869,,
703,0.4845,,
704,0.4821,,
705,0.4797,,
706,0.4774,,
707,0.4750,,
708,0.4727,,
709,0.4704,,
710,0.4682,,
711,0.4659,,
712,0.4637,,
713,0.4615,,
714,0.4593,,
715,0.4571,,
