[Software Info]
Build,NTA 2.3 build 0033

[Sample Information]
Operator,""
Sample Description,"coffee"
Diluent,"aqua dest."
Concentration,"1:4"
Pre-treatmeant,""
Comments,""

[Results Summary]
Total Frames,900
Processed Frames,900
Valid Tracks,5585
Overall Drift (nm/s),625.91
X-Drift (nm/s),-89.62
Y-Drift (nm/s),619.46
Calibration (nm/pixel),166

Size data - Model Fit,
Mean (nm),0.00
Standard Deviation (nm),0.00
Diffusion Coefficient Data,
Mode (E4 nm^2/s),285.00
Mean (E4 nm^2/s),603.23
Standard Deviation (E4 nm^2/s),329.64

User Line 1,205
User Line 2,588
Average # centres/frame,184.60
Average # particles/frame,147.86
Equivalent particle concentration (E8 particles/ml),23.01
Selected average # particles/frame,79.40
Selected equivalent particle concentration (E8 particles/ml),12.36

[Settings],
Background Extract,On
Brightness,0
Gain,1.00
Blur Size,Auto,
Detection Threshold Type,Multi,
Detection Threshold,20
Min Track Length,Auto
Min Expected Size (nm),Auto

[Measurement Conditions]
Camera Type,CCD
Camera Shutter (ms),8.00
Camera Gain,339
Frame rate (fps),30.00
Temperature (°C),23.90
Viscosity (cP),0.911

[Warnings]
Low Completed Tracks,No
High Noise,0 frames
Auto max jump,Successful
Drift off,No
Settings Changed Whilst Processing,No
Vibration detected,No vibration detected
Additional Errors,None

[Graph Data]
Diffusion Coefficient (E4 nm²/s), Concentration (E6 particles / ml),,
883,1.3429,,
884,1.3387,,
885,1.3345,,
886,1.3302,,
887,1.3260,,
888,1.3218,,
889,1.3176,,
890,1.3134,,
891,1.3092,,
892,1.3050,,
893,1.3009,,
894,1.2967,,
895,1.2926,,
896,1.2885,,
897,1.2844,,
898,1.2803,,
899,1.2762,,
900,1.2721,,
901,1.2681,,
902,1.2641,,
903,1.2600,,
904,1.2561,,
905,1.2521,,
906,1.2481,,
907,1.2442,,
908,1.2403,,
909,1.2364,,
910,1.2325,,
911,1.2286,,
912,1.2248,,
913,1.2209,,
914,1.2171,,
915,1.2133,,
916,1.2096,,
917,1.2058,,
918,1.2021,,
919,1.1984,,
920,1.1947,,
921,1.1911,,
922,1.1875,,
923,1.1838,,
924,1.1803,,
925,1.1767,,
926,1.1731,,
927,1.1696,,
928,1.1661,,
929,1.1626,,
930,1.1592,,
931,1.1557,,
932,1.1523,,
933,1.1489,,
934,1.1455,,
935,1.1422,,
936,1.1388,,
937,1.1355,,
938,1.1322,,
939,1.1289,,
940,1.1257,,
941,1.1224,,
942,1.1192,,
943,1.1160,,
944,1.1128,,
945,1.1097,,
946,1.1065,,
947,1.1034,,
948,1.1003,,
949,1.0972,,
950,1.0941,,
951,1.0911,,
952,1.0880,,
953,1.0850,,
954,1.0820,,
955,1.0790,,
956,1.0760,,
957,1.0730,,
958,1.0701,,
959,1.0671,,
960,1.0642,,
961,1.0613,,
962,1.0584,,
963,1.0555,,
964,1.0526,,
965,1.0497,,
966,1.0469,,
967,1.0440,,
968,1.0412,,
969,1.0383,,
970,1.0355,,
971,1.0327,,
972,1.0299,,
973,1.0271,,
974,1.0243,,
975,1.0215,,
976,1.0187,,
977,1.0159,,
978,1.0132,,
979,1.0104,,
980,1.0076,,
981,1.0049,,
982,1.0021,,
983,0.9994,,
984,0.9966,,
985,0.9939,,
986,0.9911,,
987,0.9884,,
988,0.9857,,
989,0.9829,,
990,0.9802,,
991,0.9775,,
992,0.9748,,
993,0.9720,,
994,0.9693,,
995,0.9666,,
996,0.9639,,
997,0.9611,,
998,0.9584,,
999,0.9557,,
1000,0.9530,,
1001,0.9502,,
1002,0.9475,,
1003,0.9448,,
1004,0.9421,,
1005,0.9393,,
1006,0.9366,,
1007,0.9339,,
1008,0.9312,,
1009,0.9284,,
1010,0.9257,,
1011,0.9230,,
1012,0.9202,,
1013,0.9175,,
1014,0.9147,,
1015,0.9120,,
1016,0.9093,,
1017,0.9065,,
1018,0.9038,,
1019,0.9010,,
1020,0.8983,,
1021,0.8955,,
1022,0.8928,,
1023,0.8900,,
1024,0.8873,,
1025,0.8845,,
1026,0.8818,,
1027,0.8790,,
1028,0.8763,,
1029,0.8735,,
1030,0.8708,,
1031,0.8680,,
1032,0.8653,,
1033,0.8625,,
1034,0.8598,,
1035,0.8570,,
1036,0.8543,,
1037,0.8515,,
1038,0.8487,,
1039,0.8460,,
1040,0.8432,,
1041,0.8405,,
1042,0.8377,,
1043,0.8350,,
1044,0.8323,,
1045,0.8295,,
1046,0.8268,,
1047,0.8240,,
1048,0.8213,,
1049,0.8186,,
1050,0.8158,,
1051,0.8131,,
1052,0.8104,,
1053,0.8077,,
1054,0.8050,,
1055,0.8022,,
1056,0.7995,,
1057,0.7968,,
1058,0.7941,,
1059,0.7915,,
1060,0.7888,,
1061,0.7861,,
1062,0.7834,,
1063,0.7808,,
1064,0.7781,,
1065,0.7754,,
1066,0.7728,,
1067,0.7702,,
1068,0.7675,,
1069,0.7649,,
1070,0.7623,,
1071,0.7597,,
1072,0.7571,,
1073,0.7545,,
1074,0.7519,,
1075,0.7493,,
1076,0.7468,,
1077,0.7442,,
1078,0.7417,,
1079,0.7391,,
1080,0.7366,,
1081,0.7341,,
1082,0.7316,,
1083,0.7291,,
1084,0.7266,,
1085,0.7241,,
1086,0.7216,,
1087,0.7192,,
1088,0.7167,,
1089,0.7143,,
1090,0.7119,,
1091,0.7095,,
1092,0.7071,,
1093,0.7047,,
1094,0.7023,,
1095,0.7000,,
1096,0.6976,,
1097,0.6953,,
1098,0.6930,,
1099,0.6906,,
1100,0.6884,,
1101,0.6861,,
1102,0.6838,,
1103,0.6815,,
1104,0.6793,,
1105,0.6771,,
1106,0.6749,,
1107,0.6727,,
1108,0.6705,,
1109,0.6683,,
1110,0.6661,,
1111,0.6640,,
1112,0.6619,,
1113,0.6598,,
1114,0.6577,,
1115,0.6556,,
1116,0.6535,,
1117,0.6515,,
1118,0.6494,,
1119,0.6474,,
1120,0.6454,,
1121,0.6434,,
1122,0.6414,,
1123,0.6394,,
1124,0.6375,,
1125,0.6355,,
1126,0.6336,,
1127,0.6317,,
1128,0.6298,,
1129,0.6280,,
1130,0.6261,,
1131,0.6242,,
1132,0.6224,,
1133,0.6206,,
1134,0.6188,,
1135,0.6170,,
1136,0.6152,,
1137,0.6135,,
1138,0.6117,,
1139,0.6100,,
1140,0.6083,,
1141,0.6066,,
1142,0.6049,,
1143,0.6033,,
1144,0.6016,,
